50 1275 1236 2555 355 510 797
50 1275 1343 2510 361 467 766
50 1275 1351 3005 352 462 799
50 1275 1306 2932 353 539 805
50 1275 1211 2886 358 483 800
50 1275 1290 2681 350 496 788
50 1275 1216 2497 354 507 806
50 1275 1390 2780 355 566 775
50 1275 1258 2958 359 477 792
50 1275 1315 3035 352 455 808
50 1275 1113 2836 358 529 815
50 1275 1161 2467 350 470 812
50 1275 1390 2828 358 534 802
50 1275 1147 2657 359 537 814
50 1275 1418 2891 356 489 764
50 1275 1327 2894 352 543 789
50 1275 1296 2731 355 649 797
50 1275 1316 2497 354 469 781
50 1275 1170 2425 355 622 778
50 1275 1331 2652 361 471 797
50 1275 1468 3016 349 547 757
50 1275 1384 3072 358 540 788
50 1275 1312 2692 359 603 776
50 1275 1030 2500 352 478 848
50 1275 1488 3074 359 547 775
50 1275 1251 2858 353 490 804
50 1275 1265 2814 361 687 802
50 1275 1503 3131 352 558 797
50 1275 1228 2403 350 470 791
50 1275 1307 2835 354 457 822
50 1275 1248 2414 348 509 775
50 1275 1273 2378 356 580 772
50 1275 1277 2919 359 503 794
50 1275 1370 2671 356 569 767
50 1275 1336 2947 356 603 799
50 1275 1317 2741 358 458 779
50 1275 1333 2897 360 487 789
50 1275 1287 2826 357 552 799
50 1275 1349 2906 355 430 772
50 1275 1114 2885 342 487 844
50 1275 1379 3116 358 503 749
50 1275 1095 2043 356 453 793
50 1275 1400 2589 351 516 786
50 1275 1213 2446 350 493 803
50 1275 1319 2547 350 469 771
50 1275 1320 2890 355 551 783
50 1275 1299 2636 355 467 772
50 1275 1185 2284 356 423 802
50 1275 1175 2477 360 603 820
50 1275 1267 2521 350 474 799
50 1275 1115 2887 356 464 782
50 1275 1375 2968 359 451 785
50 1275 1197 2438 355 534 825
50 1275 1352 2906 358 614 759
50 1275 1171 2620 350 449 819
50 1275 1070 2669 350 492 822
50 1275 1147 2707 356 469 807
50 1275 1215 2445 349 473 785
50 1275 1253 2465 352 491 779
50 1275 1059 2858 349 457 835
50 1275 1098 2242 356 469 809
50 1275 1343 2609 358 607 792
50 1275 1188 2728 353 585 809
50 1275 1316 2496 356 588 795
50 1275 1383 2482 360 664 786
50 1275 1197 2487 359 482 790
50 1275 1298 2292 346 456 780
50 1275 1482 3169 355 486 789
50 1275 1352 3104 363 679 797
50 1275 1123 2547 360 428 821
50 1275 1146 2167 359 598 788
50 1275 1305 2835 360 519 805
50 1275 1258 2566 358 475 803
50 1275 1154 2905 355 551 818
50 1275 1241 2459 357 449 811
50 1275 1194 2339 357 557 796
50 1275 1433 2752 359 436 778
50 1275 1122 2498 353 527 788
50 1275 1344 2560 353 466 771
50 1275 1384 3021 356 661 788
50 1275 1301 2784 352 669 780
50 1275 1112 2444 353 563 829
50 1275 1199 2438 357 494 815
50 1275 1121 2154 359 484 803
50 1275 1420 3088 354 524 779
